,simbad_id,source_id,P_orb,P_orb_err,ecc,ecc_err,K1,K1_err,K2,K2_err,orb_class,M2_min (M1=1.0Msun),M2_min (M1=1.1Msun),M2_min (M1=1.2Msun),M2_min (M1=1.3Msun),M2_min (M1=1.4Msun),M2_min (M1=1.5Msun),updated_class
64,HD  55002,5491226360654244864,5.538404743234633,7.825966e-05,0.4372870092179035,0.0051699565,31.415652820116048,0.24410719,28.919480713092227,0.2941563,SB2,1.0863146,1.194946,1.3035774,1.4122089,1.5208404,1.6294718,RS
65,*  29 Dra,1655646778064790528,881.5090597960923,6.7330465,0.1059615078121108,0.00987151,,,,,Orbital,0.34271282,0.36286435,0.3823663,0.40129235,0.41970283,0.43764788,SSG
66,V* CZ CVn,1454245453633192576,147.85535773977674,0.1306188,0.8241446401710526,0.023916405,,,,,AstroSpectroSB1,0.5532035,0.5837923,0.613372,0.64205784,0.66994387,0.6971085,SSG
67,UCAC4 784-025277,1642379516712248064,525.5443207320669,10.39111,0.273308835716946,0.12111583,,,,,Orbital,0.24755727,0.26254418,0.27705535,0.29114437,0.30485526,0.31822458,SSG
68,CD-31  1752,4884511622495522688,269.7182345494019,1.5829209,0.641192671385192,0.03016369,,,,,AstroSpectroSB1,0.21174105,0.22470416,0.2372585,0.24945003,0.26131645,0.2728891,RS
69,ASAS J212703-8541.9,6342932295441231104,543.0557430051053,3.088174,0.2481100355983163,0.026238073,,,,,Orbital,0.25845757,0.27405152,0.28914946,0.3038074,0.31807116,0.33197895,RS
70,nan,1817524228596221056,950.250779452051,96.204895,0.0512082332705959,0.051464144,,,,,Orbital,0.63304883,0.6672798,0.70037496,0.73246413,0.7636532,0.79403055,RS
71,ASAS J210323+1930.9,1789396148472412288,10.4411,0.0648,0.0,0.0066,28.866,0.346,,,SB1,0.33517742,0.35552526,0.37524056,0.39439395,0.4130433,0.43123683,SSG
72,BD+ 20 307,97294345128598656,3.4202,0.0007,0.0,0.0,43.2,0.18,46.39,0.18,SB2,0.93123518,1.024358698,1.117482216,1.210605734,1.303729252,1.39685277,
73,BG Psc,96624703892236544,25.366,0.01,0.508,0.007,30.32,0.22,30.03,0.28,SB2,1.00965701,1.110622711,1.211588412,1.312554113,1.413519814,1.514485514,
74,BM CVn,1476446929861764992,20.6252,0.0018,0.0,0.0,11.71,0.21,,,SB1,0.159601063,0.169737861,0.179564685,0.189115927,0.198419839,0.207499966,SSG
75,BPS CS 22950-0027,6876368298759473024,11.7364,0.1499,0.0084,0.0106,26.006,0.157,,,SB1,0.3110646,0.33007476,0.348495,0.3663911,0.383817,0.40081772,SSG
76,CG Tri,326753999413912192,3.1147,0.0492,0.0621,0.0152,39.033,0.572,,,Asymmetric,0.29796243,0.3162369,0.33394486,0.3511494,0.36790237,0.384247,SSG
77,CH Tri,131038391345067520,3.757647078,0.000128218,0.01056926,0.01600273,20.50895888,0.307206899,,,SB1,0.15838276,0.16844502,0.17819963,0.18768074,0.19691636,0.20592988,
78,EZ Peg,2844189676273462400,11.66,0.0,0.0,0.0,24.5,0.0,24.3,0.0,SB2,1.008230453,1.109053498,1.209876543,1.310699588,1.411522634,1.512345679,SSG
79,FN Com,3947234928261838720,5.6661,0.0353,0.0665,0.0062,43.736,0.265,,,Asymmetric,0.42840168,0.4537208,0.47824946,0.50207573,0.52527195,0.5478984,SSG
80,FR Boo,1257818251087117312,1189.18,0.17,0.871,0.003,10.27,0.15,,,SB1,0.277795523,0.2949256,0.311525434,0.327654123,0.343360215,0.358684063,RS
81,FV Cnc,660225916090501376,2.982094,8e-05,0.046977,0.015433,40.850395,0.706845,45.560473,0.838181,SB2,0.896619203,0.986281124,1.075943044,1.165604964,1.255266885,1.344928805,
82,GSC 00563-00384,2703947135653093632,30.9778,1.7557,0.0144,0.0799,14.434,0.132,,,SB1,0.23143186,0.24587601,0.25987497,0.2734783,0.28672665,0.29965392,SSG
83,HD 113714,3737715187928620032,3.6806,0.0,0.0,0.0,76.9,0.4,,,SB1,0.732816279,0.7721861,0.810335279,0.847396851,0.883480847,0.918679237,RS
84,HD 57267,871136882231721600,36.216,0.0006,0.0,0.0,42.79,0.45,,,SB1,0.939618587,0.986780107,1.032509923,1.07695961,1.120255113,1.162502527,RS
85,HR Psc,292071455599507456,3.9324,0.0173,0.0601,0.0073,21.485,0.665,,,Asymmetric,0.16881147,0.17951018,0.18988137,0.1999614,0.20978013,0.21936244,SSG
86,QZ Boo,1401159589135954432,15.7623,0.0736,0.1837,0.0095,32.926,0.156,,,SB1,0.450698,0.47715878,0.50279295,0.5276926,0.55193335,0.57557815,SSG
87,RX J1112.4+3950,765345000140899584,5.2533,0.0779,0.0866,0.0061,51.697,0.669,,,Asymmetric,0.50830597,0.5376323,0.5660419,0.5936366,0.62050015,0.64670235,SSG
88,TYC 3557-919-1,2080444435493307520,11.0283,1.2859,0.3669,0.0116,26.488,0.116,,,SB1 ,0.28592265,0.30351564,0.32056373,0.3371277,0.35325727,0.3689941,SSG
89,TYC 4415-328-1,1647677204253342080,16.8366,0.2256,0.2861,0.0303,12.916,0.177,,,SB1 ,0.15752417,0.16753387,0.17723757,0.1866692,0.19585668,0.20482321,SSG
90,TYC 4422-1970-1,1647104259911614208,5.3512,0.0585,0.0116,0.0052,38.301,0.562,,,SB1 ,0.35918292,0.38084134,0.4018256,0.42221087,0.44205886,0.461421,RS
91,TYC 4667-90-1,2445149040805181440,8.8633,0.0285,0.0102,0.0035,52.493,0.354,,,Asymmetric,0.650578,0.68647105,0.72124565,0.7550249,0.7879102,0.8199863,SSG
92,TYC 583-566-1,2664149423227808256,4.2138,0.0343,0.0853,0.0072,51.961,0.528,,,SB1 ,0.46739933,0.49470335,0.52115417,0.5468467,0.57185906,0.5962562,SSG
93,UCAC2 28842571,2474594645095556224,33.88,5e-05,0.35224,0.00078,46.37,0.1,46.45,0.14,SB2,0.998277718,1.09810549,1.197933262,1.297761033,1.397588805,1.497416577,SSG
94,V498 And,387742126997049728,9.329,0.1323,0.0226,0.0119,30.637,0.25,,,SB1,0.3436673,0.36448103,0.38464746,0.4042388,0.42331424,0.44192323,SSG
